clublink,clubdata,phonenumber,mailaddress,webpage
BFC Mixalot e. V.,"BFC Mixalot e. V.

     Kyllmannstr. 11 

     12203 Berlin",1775205566,goran.bjelajac(at)bfc-mixalot(dot)de,www.bfc-mixalot.de
Fangnetz Freizeit- und Sportverein e. V.,"Fangnetz Freizeit- und Sportverein e. V.

     Porzerstraße 111 

     12524 Berlin",17622605962,fangnetz-ev(at)web(dot)de,null
Kokon-Sport e. V.,"Kokon-Sport e. V.

     Galvanistraße 14 

     10587 Berlin",217 39 70,MAIL(at)KOKON(dot)de,www.KOKON.de
Tennisclub Friedrichshain e.V.,"Tennisclub Friedrichshain e.V.

     Modersohnstraße 49 

     10245 Berlin",291 18 74,tc-fh(at)t-online(dot)de,www.tc-friedrichshain.de
Betriebssportgemeinschaft Bezirksamt Mitte von Berlin e. V.,"Betriebssportgemeinschaft Bezirksamt Mitte von Berlin e. V.

     Postfach 021250 

     10124 Berlin",1621386696,bsg-ba-mitte(at)web(dot)de,null
Berliner Sportclub Marzahn e. V.,"Berliner Sportclub Marzahn e. V.

     Schönagelstraße 70 

     12679 Berlin",030-39205415; 0177-2086905,bscmarzahn(at)versanet(dot)de,www.bscmarzahn.com
Judoverein Stern Britz e. V.,"Judoverein Stern Britz e. V.

     Alexandrinenstraße 99 

     10969 Berlin",17639017140,sternbritz-herschel(at)web(dot)de,www.jv-stern-britz.de
Schachklub Zehlendorf e. V.,"Schachklub Zehlendorf e. V.

     Lichtenrader Str. 47 

     12049 Berlin",6222283,wk5764(at)gmx(dot)de,www.skzehlendorf.de
Radsportverein Spandau e. V.,"Radsportverein Spandau e. V.

     Wilzenweg 21 

     13595 Berlin",3622486,null,null
Märkischer Sportverein Normannia 08 e. V.,"Märkischer Sportverein Normannia 08 e. V.

     Finsterwalder Straße 33 

     13435 Berlin",402 81 23,msv.normannia08(at)hotmail(dot)de,www.msvn08.com
Hellersdorfer Athletik-Club Berlin e. V.,"Hellersdorfer Athletik-Club Berlin e. V.

     Postfach  52 01 19 

     12591 Berlin",563 36 16,ac-berlin(at)gmx(dot)de,www.ac-berlin.de
BSG AVK/Olympia,"BSG AVK/Olympia

     Eythstraße 37 

     12105 Berlin",7538734,null,null
Volleyball Sport-Club Lankwitz e. V.,"Volleyball Sport-Club Lankwitz e. V.

     Grünlandweg 14 a 

     13437 Berlin",414 37 80,info(at)vsc-lankwitz(dot)de,www.vsc-lankwitz.de
Motorbootclub Wasserfreunde Köpenick e. V.,"Motorbootclub Wasserfreunde Köpenick e. V.

     Königsheideweg 231 

     12487 Berlin",6315321,mc-wasserfreunde(at)t-online(dot)de,null
Sportliche Vereinigung Nord-Wedding 1893 e. V.,"Sportliche Vereinigung Nord-Wedding 1893 e. V.

     Kühnemannstraße 52 - 70 

     13409 Berlin",030-80928055,klaus.koepke(at)svnordwedding(dot)de,www.svnordwedding.de
MC Alt-Stralau e. V.,"MC Alt-Stralau e. V.

     Alt-Stralau 60 

     10245 Berlin",29048388,mc.stralau(at)web(dot)de,null
Neuköllner Sport-Club Cimbria Trabzonspor 1900 e. V.,"Neuköllner Sport-Club Cimbria Trabzonspor 1900 e. V.

     Thomasstraße 1 

     12053 Berlin",6869013,null,null
Stahl Rehberge e. V.,"Stahl Rehberge e. V.

     Motzstraße 30 

     10777 Berlin",21280770,null,null
Sportgemeinschaft Cherusker 90,"Sportgemeinschaft Cherusker 90

     Gustav - Müller - Str. 13 

     10829 Berlin",0157/80370168,hans.berlin49(at)yahoo(dot)de,null
Buckower Kampfratten,"Buckower Kampfratten

      

      Berlin",null,null,null
Berlin Dragons e. V.,"Berlin Dragons e. V.

     Richard-Wagner-Straße 51 

     10585 Berlin",3422442,vorstand(at)berlin-dragons(dot)de,www.berlin-dragons.de
TSC Grün-Weiß Berlin e. V.,"TSC Grün-Weiß Berlin e. V.

     Georg-Schroeder-Str. 20 

     13591 Berlin",3679852,nomoca(at)googlemail(dot)com,null
Kegelsportverein Blau-Weiß Weißensee e. V.,"Kegelsportverein Blau-Weiß Weißensee e. V.

     Poelchaustraße 24 

     12681 Berlin",5414528,null,null
Neuköllner Kegelclub von 1972 e. V.,"Neuköllner Kegelclub von 1972 e. V.

     Heideläuferweg 19 

     12353 Berlin",6055973,sabine(at)nkc72(dot)de,www.nkc72.de
Angelverein 'Alte Fischwaidler' Berlin e. V.,"Angelverein 'Alte Fischwaidler' Berlin e. V.

     Hermann-Piper-Straße 31 

     13403 Berlin",4134206,cravatzo-reiner(at)web(dot)de,www.alte-fischwaidler.de
Schwarz-Weiß-Neukölln e. V.,"Schwarz-Weiß-Neukölln e. V.

     Enkenbacher Weg 92 

     12559 Berlin",null,null,null
Tennis Club Heiligensee,"Tennis Club Heiligensee

     Elchdamm171 

     13503 Berlin",43747610,info(at)tc-heiligensee(dot)de,www.tc-heiligensee.de
Treptower Teufel Tennisclub,"Treptower Teufel Tennisclub

     Postfach 1 

     12416 Berlin",53217103,kontakt(at)treptower-teufel(dot)de,www.treptower-teufel.de
Flugmodellsportverein Adebar e. V.,"Flugmodellsportverein Adebar e. V.

     Georg-Schroeder-Straße 24 d 

     13591 Berlin",902435876,office(at)fmsv-adebar(dot)be,www.fmsv-adebar.be
"BSG Senatsverwaltung für Bildung, Jugend und Sport","BSG Senatsverwaltung für Bildung, Jugend und Sport

     Mariendorfer Damm 305 

     12107 Berlin",7412735,null,null
Yachtclub Wendenschloss e. V.,"Yachtclub Wendenschloss e. V.

     Niebergallstraße 34 

     12557 Berlin",6513580,vorstand(at)yachtclub-wendenschloss(dot)de,www.yachtclub-wendenschloss.de
Bad - Feder e. V.,"Bad - Feder e. V.

     Bismarckstraße 47 b 

     12169 Berlin",82096329,detlef_g(at)web(dot)de,null
BSG Versicherung der Kraftfahrt AG,"BSG Versicherung der Kraftfahrt AG

     Leibnizstraße 3-4 

     10625 Berlin",6618224,manfred_uhlig(at)freenet(dot)de,null
Sportvereinigung DJK Berlin-Burgund 1922 e. V.,"Sportvereinigung DJK Berlin-Burgund 1922 e. V.

     Sandhauser Straße 41 

     13505 Berlin",4317107,dreher-berlin(at)t-online(dot)de,null
Berliner Sport-Club e. V.,"Berliner Sport-Club e. V.

     Hubertusallee 50 

     14193 Berlin",826 41 76,Berliner-Sport-Club(at)t-online(dot)de,BerlinerSportClub.de
Turn- und Sportverein Hohenschönhausen 1990 e. V.,"Turn- und Sportverein Hohenschönhausen 1990 e. V.

     Heckelberger Ring 22 

     13055 Berlin",92 37 26 11,Kontakt(at)tus-hsh(dot)de,www.tus-hsh.de
BSG Brunswick Bowling Berlin,"BSG Brunswick Bowling Berlin

     Morsbronner Weg 3 

     12109 Berlin",8341352,ch.schmidt.bln(at)t-online(dot)de,null
Sportfreunde IL Berlin 05 e. V.,"Sportfreunde IL Berlin 05 e. V.

     Immanuelkirchstraße 20 

     10405 Berlin",null,klaus-peter.dilger(at)independentliving(dot)de,null
Boxgirls Berlin e. V.,"Boxgirls Berlin e. V.

     Wesestr. 38 

     12045 Berlin",null,info(at)boxgirls(dot)de,www.boxgirls.wordpress.com
Golf- und Land-Club Berlin-Wannsee e. V.,"Golf- und Land-Club Berlin-Wannsee e. V.

     Golfweg 22 

     14109 Berlin",806 70 60,info(at)wannsee(dot)de,www.wannsee.de
Verein Berliner Segler e. V.,"Verein Berliner Segler e. V.

     Fährallee 31 

     12527 Berlin",6758151,vorstand(at)vbs-1885(dot)de,www.vbs-1885.de
Verein für Brasilianische Kultur und Capoeira Berlin - Humaita e. V.,"Verein für Brasilianische Kultur und Capoeira Berlin - Humaita e. V.

     Rhinower Straße 3, 3. Etage HH 

     10437 Berlin",null,null,null
Sportgemeinschaft Akazie Berlin e. V.,"Sportgemeinschaft Akazie Berlin e. V.

     Clayallee 345, Gartenhaus li. 

     14169 Berlin",0172  525 51 78,tidobvb(at)web(dot)de,null
Sportverein Einheit Alexander e. V.,"Sportverein Einheit Alexander e. V.

     Eichhorster Weg 42 

     13435 Berlin",47475730,schlobach(at)gmx(dot)de,www.sv-einheit-alexander.de
BSG Deutsches Herzzentrum Berlin (DHZB),"BSG Deutsches Herzzentrum Berlin (DHZB)

     Siemensdamm 47 

     13629 Berlin",38304470,a.g.berlin(at)t-online(dot)de,null
BC Matchpoint e. V.,"BC Matchpoint e. V.

     Güntzelstraße 37 

     10717 Berlin",2522578,info(at)bc-matchpoint-berlin(dot)de,null
Tisch-Tennis-Club Mariendorf e. V.,"Tisch-Tennis-Club Mariendorf e. V.

     Waldsassener Str. 37 

     12279 Berlin",71097005,null,null
Serbischer Sportverein VIZANT e. V.,"Serbischer Sportverein VIZANT e. V.

     Quitzowstraße 104 

     10551 Berlin",null,null,null
Reitverein Berlin Pichelsberg e. V.,"Reitverein Berlin Pichelsberg e. V.

     Schirwindter Allee 45 

     14053 Berlin",3040608,reiten(at)tuer-frei(dot)de,www.tuer-frei.de
Fußball-Club Nordost Berlin e. V.,"Fußball-Club Nordost Berlin e. V.

     Walter-Felsenstein-Straße 16 

     12687 Berlin",9355191,webmaster(at)fcnordostberlin(dot)de,www.fcnordostberlin.de
Angelverein Yachtwerft Berlin e. V.,"Angelverein Yachtwerft Berlin e. V.

     Weg D 2 

     12559 Berlin",9915295,ra.beh(at)alice-dsl(dot)net,www.aywb.de
Tennis-Club Orange-Weiß Friedrichshagen e. V.,"Tennis-Club Orange-Weiß Friedrichshagen e. V.

     Hinter dem Kurpark 28 

     12587 Berlin",6452938,info(at)tcow-friedrichshagen(dot)de,www.tcow-friedrichshagen.de
Hanseatischer Fliegerclub Berlin e. V.,"Hanseatischer Fliegerclub Berlin e. V.

     Am Flugplatz - Haus 1 

     14959 Schönhagen",33731320020,INFO(at)hfc-berlin(dot)de,www.hfc-berlin.de
Sportverein Pfefferwerk e. V.,"Sportverein Pfefferwerk e. V.

     Paul-Heyse-Straße 29 

     10407 Berlin",67300160,info(at)pfeffersport(dot)de,www.pfeffersport.de
Schlossgeister,"Schlossgeister

     Straße A Nr. 10 

     13629 Berlin",3347410,udo.riedel(at)gmail(dot)com,null
1. Gemeinschaftlicher BC Berlin e. V.,"1. Gemeinschaftlicher BC Berlin e. V.

     Gleditschstr. 69 

     10781 Berlin",null,gbcberlin(at)yahoo(dot)com,null
Gesundheitssport Berlin Brandenburg e. V.,"Gesundheitssport Berlin Brandenburg e. V.

      

      Berlin",null,null,null
Triathlon-SG Bund,"Triathlon-SG Bund

     Elmshorner Straße 36 

     14167 Berlin",8174520,triathlon-sg-bund(at)arcor(dot)de,null
Vattenfall BSG Berlin e. V.,"Vattenfall BSG Berlin e. V.

     Puschkinallee 52 

     12435 Berlin",26710185,norbert.stark(at)vattenfall(dot)de,null
FSG Berlin Bravehearts e. V.,"FSG Berlin Bravehearts e. V.

     Heiligenseestraße 122 a 

     13503 Berlin",45021405,mail(at)berlinbravehearts(dot)de,www.berlinbravehearts.de
Sportclub Staaken 1919 e. V.,"Sportclub Staaken 1919 e. V.

     Franzstraße 6 

     13595 Berlin",361 45 87,vorstand(at)sc-staaken(dot)de,www.sc-staaken.de
Sportliche Vereinigung Astoria e. V.,"Sportliche Vereinigung Astoria e. V.

     Klenzepfad 48 

     13407 Berlin",null,null,www.sv-astoria.eu
Schachvereinigung Läufer Reinickendorf e. V.,"Schachvereinigung Läufer Reinickendorf e. V.

     Spielhagenstr. 6 

     10585 Berlin",030-341 10 49,e-h.mueller(at)arcor(dot)de,null
Eisenbahner-Sportverein Berlin-Oberspree e. V.,"Eisenbahner-Sportverein Berlin-Oberspree e. V.

     Giselastraße 16 

     10317 Berlin",510 00 90,null,null
Fußball Club Flughafen Tempelhof e. V.,"Fußball Club Flughafen Tempelhof e. V.

     Sembritzkistraße 4 

     12169 Berlin",7030507,fc.flughafen(at)freenet(dot)de,www.fc-flughafen-tempelhof.de
BSG Eisbären 85 Polizei Berlin,"BSG Eisbären 85 Polizei Berlin

     Charlottenburger Chaussee 75 

     13597 Berlin",4664222215,Eddi.Shore(at)googlemail(dot)com,www.eisbaeren85.de
Snookerfabrik Berlin e. V.,"Snookerfabrik Berlin e. V.

     Roelckestraße 72 

     13088 Berlin",97885166,gh(at)snookerfabrik(dot)de,www.snookerfabrik.de
Berliner Sport-Club Agrispor e. V.,"Berliner Sport-Club Agrispor e. V.

     Görlitzer Straße 1-3 

     10997 Berlin",1632617163,vorstand(at)agrispor(dot)de,www.agrispor.de
Segel-Club Wannsee e. V.,"Segel-Club Wannsee e. V.

     Emdener Strasse 50 

     10551 Berlin",1758483162,anfrage(at)segelclub-wannsee(dot)de,www.segelclub-wannsee.de
TSB e. V.,"TSB e. V.

     Baerwaldstraße 64 - 67 

     10961 Berlin",69564549,null,www.baerwaldbad.de
Verein Schmöckwitzer Wassersportler e. V.,"Verein Schmöckwitzer Wassersportler e. V.

     Dahmestr. 1 

     12527 Berlin",306740842,vorsitzender(at)vsw-segeln(dot)de,www.vsw-segeln.de
Deutsche Zwölfer Vereinigung e. V.,"Deutsche Zwölfer Vereinigung e. V.

     Länderallee 19 

     14052 Berlin",030 304 18 10,detlof.lichtenberg(at)t-online(dot)de,null
Turn- und Sportverein Gesundbrunnen 1873 e.V.,"Turn- und Sportverein Gesundbrunnen 1873 e.V.

     Sonderburger Straße . 18/208 

     13357 Berlin",493 73 97,null,null
Wassersportvereinigung am Langen See e. V.,"Wassersportvereinigung am Langen See e. V.

     Paul-Jordan-Straße 8 

     16761 Henningsdorf",15111310402,lutz.samel(at)onlinehome(dot)de,www.wls-ev.de
Juve Ricambi e. V.,"Juve Ricambi e. V.

     Alter Fischerweg 18 

     14612 Falkensee",3322273686,info(at)juve-ricambi(dot)de,www.juve-ricambi.de
Judo-Club Kano Berlin e. V.,"Judo-Club Kano Berlin e. V.

     Siegener Straße 54 

     13583 Berlin",3781642,kerstinundhussi(at)aol(dot)com,www.jc-kano-berlin.de
Kleiner Sportverein Johannisthal 1980 e. V.,"Kleiner Sportverein Johannisthal 1980 e. V.

     Dahmestraße 3 

     12527 Berlin",6313349,gerald_gaedke(at)gmx(dot)de,www.ksv-johannisthal.de
"Wirkungsorientierter Ertüchtigungs-, Leistungs- und Trainingsverein e. V.","Wirkungsorientierter Ertüchtigungs-, Leistungs- und Trainingsverein e. V.

     Neue Bahnhofstraße 34 

     10245 Berlin",1791021167,weltverein(at)gmail(dot)com,www.welt-verein.de
Tempelhofer Tennis-Club (TTC),"Tempelhofer Tennis-Club (TTC)

     Bosestraße 6 

     12103 Berlin",7517603,info(at)tempelhofer-tennis-club(dot)de,www.tempelhofer-tennis-club.de
Weddinger Ringerverein Berlin 09 e. V.,"Weddinger Ringerverein Berlin 09 e. V.

     Lindauer Allee 39 e 

     13407 Berlin",1637784702,sedio(at)hotmail(dot)de,null
Gesundheits- und Rehasportverein an den DRK-Kliniken Berlin e. V.,"Gesundheits- und Rehasportverein an den DRK-Kliniken Berlin e. V.

     Salvador-Allende-Straße 2 - 8 

     12559 Berlin",null,null,null
Eissport-Verein Berlin 1980 e. V.,"Eissport-Verein Berlin 1980 e. V.

     Bouchéstraße 68 

     12059 Berlin",6875515,null,null
CFB Hasenheide e. V.,"CFB Hasenheide e. V.

     Schwiebusser Str. 41 

     10965 Berlin",25296850,vorstand(at)cfb-hasenheide(dot)de,www.cfb-hasenheide.de
Sportgemeinschaft 'PaSch' Marzahn e. V.,"Sportgemeinschaft 'PaSch' Marzahn e. V.

     Hänflingsteig  44 

     12685 Berlin",null,vorstand(at)sg-pasch(dot)de,null
Schützen-Club-Spandau e.V.,"Schützen-Club-Spandau e.V.

     Springbornstraße 5 

     12487 Berlin","0177/4901085,   6314",fralinaxos(at)t-online(dot)de,null
BSG Sport Club Oberstufenzentrum Rudow,"BSG Sport Club Oberstufenzentrum Rudow

     Rudower Straße 184 

     12351 Berlin",6606890,null,null
bunte-liga-berlin e. V.,"bunte-liga-berlin e. V.

     Prendener Straße 29 

     13059 Berlin",92373732,bulimail(at)gmx(dot)de,www.bunte-liga-berlin.de
Interkulturelle Begegnungen in der Capoeira e. V.,"Interkulturelle Begegnungen in der Capoeira e. V.

     Urbanstraße 93 

     10967 Berlin",1791335680,buero(at)abada(dot)net,www.abada.net
FF Friedenau 02,"FF Friedenau 02

      

      Berlin",null,null,null
Sport Club SCHLAFF Berlin e.V.,"Sport Club SCHLAFF Berlin e.V.

     Lachshuhnweg 17 b 

     12355 Berlin",6639461,info(at)sc-schlaff-berlin(dot)de,www.sc-schlaff-berlin.de
BRURS e. V.,"BRURS e. V.

      

      Berlin",null,null,null
BSG 1. FC B. Braun Berlin,"BSG 1. FC B. Braun Berlin

     Mistelweg 2-6 

     12357 Berlin",660 051 52,null,null
Wuhlgarten - Krankenhausnaher Hilfsverein für psychisch Kranke e. V.,"Wuhlgarten - Krankenhausnaher Hilfsverein für psychisch Kranke e. V.

     Brebacher Weg 15, Haus 33 

     12683 Berlin",030/56 29 516-0,post(at)wuhletal(dot)de,www.wuhletal.de
72er Gymnastik Verein Pankow e. V.,"72er Gymnastik Verein Pankow e. V.

     Zingergraben 19 

     13156 Berlin",916 60 97,erika.harke(at)t-online(dot)de,null
Asahi Kwai e. V.,"Asahi Kwai e. V.

     Hartmannsweilerweg 21 

     14163 Berlin",80906599,mb(at)m-birghan(dot)de,null
Sportgemeinschaft 'Am Hain' e. V.,"Sportgemeinschaft 'Am Hain' e. V.

     Andreasstraße 20 

     10243 Berlin",17686389452,email(at)sgamhain(dot)de,www.sgamhain.de
FrauenBewegungBerlin e. V.,"FrauenBewegungBerlin e. V.

     Stuttgarter Straße 49 

     12059 Berlin",86207714,info(at)frauenbewegung-berlin(dot)de,www.frauenbewegung-berlin.de
BABELUGA e.V.,"BABELUGA e.V.

     Birkhorst 8 

     16775 Löwenberger Land OT Nassenheide",null,null,null
Hellersdorfer Fußball Club e. V.,"Hellersdorfer Fußball Club e. V.

     Eisenacher Straße 125 

     12685 Berlin",1732330484,info(at)hellersdorferfc(dot)de,www.hellersdorferfc.de
Gesundheitssportverein Berlin Hirschgarten e. V.,"Gesundheitssportverein Berlin Hirschgarten e. V.

     Bölschestraße 86 

     12587 Berlin",92215584,gesundheitssport-berlin(at)arcor(dot)de,null
Bootshaus am Küstergarten e. V.,"Bootshaus am Küstergarten e. V.

     Falkenberger Straße 172 c 

     13088 Berlin",1774170664,boot(at)bootshaus-kue-spree(dot)de,www.bootshaus-kue-spree.de
Square Up's Berlin e. V.,"Square Up's Berlin e. V.

     Tautenburger Str. 24 

     12249 Berlin",4927348,president.square.ups(at)gmx(dot)de,www.square-ups-berlin.de
RBC Berlin e. V.,"RBC Berlin e. V.

     Basdorfer Straße 26 

     12679 Berlin",5406880,rbcberlin(at)web(dot)de,www.rbcberlin.de
Traditionell Karate Do Berlin e.V.,"Traditionell Karate Do Berlin e.V.

     Ziegelstraße 23 

     13129 Berlin",5612939,null,null
Türkischer Ringer Verein Berlin 1981 e. V.,"Türkischer Ringer Verein Berlin 1981 e. V.

     Melchiorstraße 18 

     10719 Berlin",24356244,info(at)trvberlin(dot)de,www.trvberlin.de
Eisspeedwayunion Berlin e. V.,"Eisspeedwayunion Berlin e. V.

     Fritz-Wildung-Straße 10 

     14199 Berlin",+49 (0) 355 541 886,null,null
Soccer-Club DJK Roland-Borsigwalde e. V.,"Soccer-Club DJK Roland-Borsigwalde e. V.

     Freisinger Straße 18 

     10781 Berlin",2182262,null,sc-djk-roland-borsigwalde-1950.de
Ruder-Club Tegel 1886 e. V.,"Ruder-Club Tegel 1886 e. V.

     Gabrielenstraße 83 

     13507 Berlin",47009378,geschaeftsstelle(at)rctegel(dot)de,www.rctegel.de
BSG Philip Morris GmbH,"BSG Philip Morris GmbH

     Neuköllnische Allee 80 

     12057 Berlin",68388120,Sabine.Schilling(at)pminH(dot)com,null
Charlottenburger Fecht-Club e. V.,"Charlottenburger Fecht-Club e. V.

     Horstweg 13 a 

     14059 Berlin",null,info(at)charlottenburger-fecht-club(dot)de,www.charlottenburger-fecht-club.de
Betriebssportgemeinschaft DÜNAMO e. V.,"Betriebssportgemeinschaft DÜNAMO e. V.

     Geb.10, Flur 4, A412 - Siemensdamm 50 

     13629 Berlin",38370258,joachim.strenzke(at)cerner(dot)com,null
Sportverein IHW Alex 78 e. V.,"Sportverein IHW Alex 78 e. V.

     In den Ministergärten 2 

     10117 Berlin",030-20671717,vorstand(at)ihwalex78(dot)de,www.ihwalex78.de
81er Wandergesellen e. V.,"81er Wandergesellen e. V.

     Waldenburger Str. 53 

     12621 Berlin",5667874,huv-81er(at)t-online(dot)de,null
Schachpinguine Berlin e. V.,"Schachpinguine Berlin e. V.

     Tübinger Straße 9 

     10715 Berlin",226678910,schneiderra(at)yahoo(dot)de,www.schachpinguine.de
Verein für Bewegungsspiele Einheit zu Pankow 1893 e. V.,"Verein für Bewegungsspiele Einheit zu Pankow 1893 e. V.

     Hermann-Hesse-Straße 80 

     13156 Berlin",9165319,webmaster(at)vfb-einheit-zu-pankow(dot)com,vfb-einheit-zu-pankow.com
American Football Club Berlin Adler e.V.,"American Football Club Berlin Adler e.V.

     Kurt-Schumacher-Damm 207-214 

     13405 Berlin",32531606,office(at)berlinadler(dot)de,www.berlinadler.de
Sportfreunde Berlin 79 e. V.,"Sportfreunde Berlin 79 e. V.

     Eschengraben 25 

     13189 Berlin",17623569974,s.riemer1(at)gmx(dot)de,null
Sportverein Tao des Westens e. V.,"Sportverein Tao des Westens e. V.

     Zionskirchstr. 49 

     10119 Berlin",null,null,null
Berliner Judo Freunde 1955 e. V.,"Berliner Judo Freunde 1955 e. V.

     Quellweg 47 

     13629 Berlin",1774916518,info(at)berliner-judo-freunde(dot)de,www.Berliner-Judo-Freunde.de
Märkischer Kanuverein 53 e. V.,"Märkischer Kanuverein 53 e. V.

     Kablower Weg 63 a 

     12526 Berlin",655 54 80 Bootshaus,mkv53(at)online(dot)ms,www.mkv53.de
Faustball-Club Berlin,"Faustball-Club Berlin

     Finsterwalder Straße 9 

     13435 Berlin",40396606,null,null
Shirokuma Berlin e.V.,"Shirokuma Berlin e.V.

     Horstweg 19 

     14059 Berlin",468 14 12,Petra(at)shirokuma(dot)de,www.shirokuma.de
Schachfreunde Siemensstadt e. V.,"Schachfreunde Siemensstadt e. V.

     General-Woyna-Straße 2 

     13403 Berlin",36282343,achim(at)schilly(dot)org,schach-siemens-berlin.de
Schützengilde Berlin-Lichterfelde e.V.,"Schützengilde Berlin-Lichterfelde e.V.

     Drakestraße 6c 

     12205 Berlin",8345965,null,null
Berliner Sport-Verein Freude am Leben e. V.,"Berliner Sport-Verein Freude am Leben e. V.

     Elsterwerdaer Platz 1 

     12683 Berlin",030 51657420,info(at)bsv-freudeamleben(dot)de,www.bsv-freudeamleben.de
Besiktas Jimnastik Kulübü Berlin 2008 e. V.,"Besiktas Jimnastik Kulübü Berlin 2008 e. V.

     Pankower Allee 94 

     13409 Berlin",81038810//017632406696,info(at)bjk-berlin(dot)de,www.bjk-berlin.de
Berliner Wanderclub e. V.,"Berliner Wanderclub e. V.

     Brandenburgische Straße 29 

     12167 Berlin",84409635,post(at)berliner-wanderclub(dot)de,www.berliner-wanderclub.de
Betriebssportgemeinschaft Berliner Sparkasse e. V.,"Betriebssportgemeinschaft Berliner Sparkasse e. V.

     Hubertusstraße 11 a 

     13589 Berlin",375 62 46,knetsch.koehler(at)t-online(dot)de,null
Havel-Möwen Wassersportclub e. V.,"Havel-Möwen Wassersportclub e. V.

     Alt-Pichelsdorf 3 

     13595 Berlin",null,null,www.havel-moewen-wsc.de
Reitsportgemeinschaft Rudower Fließ e. V.,"Reitsportgemeinschaft Rudower Fließ e. V.

     Klein-Ziethener Weg 17 

     12355 Berlin",664 64 724,null,null
Ballsportclub Pankow,"Ballsportclub Pankow

     Trelleborger Straße 95 

     13189 Berlin",92371518,kontakt(at)bsc-pankow(dot)de,www.bsc-pankow.de
Volleyball Club Preußen Berlin e. V.,"Volleyball Club Preußen Berlin e. V.

     Schweriner Ring 85 

     13059 Berlin",3092901896,vorstand(at)vc-preussen(dot)de,www.vc-preussen.de
Schachklub 'CAISSA'  Hermsdorf/Frohnau e. V.,"Schachklub 'CAISSA'  Hermsdorf/Frohnau e. V.

     Maximiliankorso 43 

     13465 Berlin",40150401,vorsitzender(at)skcaissa(dot)de,www.sKcaissa.de
Arashi Judo- und Karate-Club e. V.,"Arashi Judo- und Karate-Club e. V.

     Männertreuweg 4 a 

     12357 Berlin",66623880,regina.debudaj2(at)ge(dot)com,arashi-berlin.de
Ruhigen Köpenicker e. V.,"Ruhigen Köpenicker e. V.

     Dorotheenstraße 5 

     12557 Berlin",9352160,vorstand(at)ruhigen-koepenicker(dot)de,www.ruhigen-koepenicker.de
TRAKYA SPOR,"TRAKYA SPOR

     KRUMME STR. 50 

     10627 BERLIN",3137660,null,null
Sportgemeinschaft Anton Saefkow 83 e. V.,"Sportgemeinschaft Anton Saefkow 83 e. V.

     Alfred-Jung-Straße 18 

     10369 Berlin",030 / 970 48 96,andre_ebert1(at)freenet(dot)de,www.sg-anton-saefkow.de
Reitsport-Verein Equus e. V.,"Reitsport-Verein Equus e. V.

     Haltrichweg 14 c 

     14089 Berlin",36802310,rsv_equus(at)arcor(dot)de,null
Rock'n Roll-Club Cadillac Berlin e. V.,"Rock'n Roll-Club Cadillac Berlin e. V.

     Schleusenweg 4 

     14532 Stahnsdorf",03329 692328,vorstand(at)rrc-cadillac(dot)de,www.rrc-cadillac.de
Tanz- und Sportgemeinschaft Nord 1983 e. V.,"Tanz- und Sportgemeinschaft Nord 1983 e. V.

     Klamannstr. 6a 

     13407 Berlin",4969659,TSG-Nord(at)gmx(dot)de,null
Gymnastik und Tanz bewegt (GuT bewegt) e. V.,"Gymnastik und Tanz bewegt (GuT bewegt) e. V.

     Ebersstraße 39 

     10827 Berlin",7885473,gut-bewegt(at)t-online(dot)de,null
SV Hürriyet Burgund e. V.,"SV Hürriyet Burgund e. V.

     Tiflisweg 43 

     12107 Berlin",1729139682,ctasan(at)tasan(dot)de,null
Tanzsportclub Balance e. V.,"Tanzsportclub Balance e. V.

     Am Volkspark 43 

     10715 Berlin",1772647825,vorstand(at)tsc-balance(dot)de,www.tsc-balance.de
SSG Buch e. V.,"SSG Buch e. V.

     Zepernicker Straße 69 

     13125 Berlin",null,null,null
Xin Wu Dao Men - Berlin e. V.,"Xin Wu Dao Men - Berlin e. V.

     Malteserstraße 120 

     12249 Berlin",null,null,null
Volleyball-Sport Torpedo-Ost e. V.,"Volleyball-Sport Torpedo-Ost e. V.

     Siverstorpstr. 66 

     13125 Berlin",47301128,torpedos(at)web(dot)de,null
Seitenwechsel - Sportverein für FrauenLesbenTrans*Inter* und Mädchen e. V.,"Seitenwechsel - Sportverein für FrauenLesbenTrans*Inter* und Mädchen e. V.

     Gneisenaustraße 2 a 

     10961 Berlin",2159000,info(at)seitenwechsel-berlin(dot)de,www.seitenwechsel-berlin.de
Reitclub Olympiastadion Berlin e. V.,"Reitclub Olympiastadion Berlin e. V.

     Schirwindter Allee 45 

     14053 Berlin",30812675,reitclub-olympiastadion(at)gmx(dot)de,www.igo-Berlin.de
Volleyballgruppe Friedenau,"Volleyballgruppe Friedenau

     Keithstraße 10 

     10787 Berlin",2136248,null,null
Sportanglerverein Steglitz e. V.,"Sportanglerverein Steglitz e. V.

     Zimmererweg 59 

     12351 Berlin",6044597,null,null
Berliner Gymnastikverein e. V.,"Berliner Gymnastikverein e. V.

     Klosterstraße 12 

     13581 Berlin",null,bgv.vorstand(at)gmail(dot)com,www.bgv-karate-berlin.de
Motorradclub Hermsdorf e. V.,"Motorradclub Hermsdorf e. V.

     Berliner Straße 87 

     13507 Berlin",4044450,ra.helling(at)t-online(dot)de,www.mc-hermsdorf.de
